100
 379 110 343 281 416 435 493 467 269 478
 482 12 475 465 18 302 329 349 210 151
 238 371 452 380 95 46 484 138 155 119
 68 276 395 352 305 180 67 305 395 467
 90 127 485 457 374 291 318 270 409 424
 145 288 51 121 79 418 170 81 469 362
 181 79 299 184 263 231 469 48 423 168
 97 334 192 387 396 49 359 370 347 242
 28 287 4 325 427 1 489 385 342 245
 266 238 221 289 314 198 178 95 378 414
 412
 705 798 772 336 535 758 526 290 403 357
 933 423 3 283 250 28 224 521 290 283
 344 672 301 630 309 573 106 745 744 486
 224 889 503 972 823 771 137 649 771 230
 604 841 466 576 994 5 620 568 83 28
 923 343 816 524 273 803 824 490 922 387
 428 408 485 259 497 82 942 615 448 173
 190 639 84 32 4 785 586 543 731 632
 563 688 78 398 35 376 690 514 837 418
 36 694 554 838 301 388 946 261 879 562
 647
